keys,description,es
dailyBankingTransfersSentMovementDetailsCreditDate,Date of credit,Fecha abono
dailyBankingTransfersSentMovementDetailsBeneficiary,Beneficiary,Beneficiario
dailyBankingTransfersSentMovementDetailsAccountNumber,Account number,Número de cuenta
dailyBankingTransfersSentMovementDetailsTypeTransfer,Type of transfer,Tipo de transferencia
dailyBankingTransfersReceivedMovementDetailsChargeDate,Charge date,Fecha cargo
dailyBankingTransfersReceivedMovementDetailsCreditDate,Date of credit,Fecha abono
dailyBankingTransfersReceivedMovementDetailsSender,Sender,Ordenante
dailyBankingTransfersReceivedMovementDetailsSendersAccount,Sender's account,Cuenta ordenante
dailyBankingNewTransfers,New transfer,Nueva transferencia
dailyBankingNewTransfersNationalTitle,National transfer option title,Envío nacional
dailyBankingNewTransfersNationalDescription,National transfer option description,Enviar dinero dentro de tu país
dailyBankingNewTransfersInternationalTitle,International transfer option title,Envío internacional
dailyBankingNewTransfersInternationalDescription,International transfer option description,Enviar dinero al extranjero
dailyBankingNewTransfersSoonContactTitle,Soon transfer option title,Enviar a contacto soon
dailyBankingNewTransfersSoonContactDescription,Soon transfer option description,Transferencias directas
dailyBankingNewTransfersLastTransfers,Last transfers,Últimas transferencias
dailyBankingNewTransfersSeeAll,See all,Ver todas
dailyBankingNewTransfersFavoriteContacts,Favorite contacts,Contactos favoritos
dailyBankingScheduledTransfers,Scheduled transfers,Transferencias programadas
dailyBankingScheduledTransfersRecent,Recent,Recientes
dailyBankingScheduledTransfersSeeDetails,Go to details of a schedule transfer,Ver detalles
dailyBankingScheduledTransfersDateSince,Date since,Desde {date}
dailyBankingScheduledTransfersNew,New transfer,Nueva
dailyBankingScheduledTransfersNewModalTitle,New transfer,Nueva transferencia
dailyBankingScheduledTransfersNewModalNationalShipment,National shipment,Envío nacional
dailyBankingScheduledTransfersNewModalNationalShipmentDescription,National shipment description,Enviar dinero dentro de tu país
dailyBankingScheduledTransfersNewModalSendToContactSoon,Send to contact soon,Enviar a contacto soon
dailyBankingScheduledTransfersNewModalSendToContactSoonDescription,Send to contact soon description,Transferencias directas
dailyBankingScheduledTransfersStartedThe,Started the,Comenzó el
dailyBankingScheduledTransfersNextPaid,Next paid,Próximo pago
dailyBankingScheduledTransfersOtpModalSuccessTitle,Title of alert bottom sheet to send transfer,Transferencia realizada
dailyBankingScheduledTransfersOtpModalSuccessDescription,Description of alert bottom sheet to send transfer,Se ha realizado la transferencia con exito
dailyBankingScheduledTransfersRemoveTransfer,Remove transfer,Eliminar transferencia
dailyBankingScheduledTransfersNoTransferFee,No transfer fee,Sin comisión de transferencia
dailyBankingScheduledTransfersRemoveModalTitle,Title of alert bottom sheet to remove transfer,¿Quieres eliminar el pago periódico?
dailyBankingScheduledTransfersRemoveModalDescription,Description of alert bottom sheet to remove transfer,¿Estás seguro que deseas eliminar el pago periódico?
dailyBankingScheduledTransfersRemoveModalButtonRemove,Button remove of alert bottom sheet to remove transfer,Eliminar transferencia
dailyBankingScheduledTransfersRemovedSuccessAlertTitle,Alert when the transfer has been successfully removed,Transferencia eliminada con éxito.
dailyBankingScheduledTransfersRemovedErrorAlertTitle,Alert when the transfer could not be deleted,Error al eliminar la transferencia.
dailyBankingScheduledTransfersEditTitle,Title of edit scheduled transfer,Transferencias programadas
dailyBankingScheduledTransfersEditFrequency,Frequency of scheduled transfer,Programado {frequency}
dailyBankingScheduledTransfersEditButtonConfirm,Confirm button of scheduled transfer,Guardar cambios
dailyBankingNationalTransfersTransfer,Title of page national transfer,Transferencia nacional
dailyBankingNationalTransfersTransferFee,Transfer fee,Comisión de transferencia
dailyBankingNationalTransfersDestination,Destination,Destino
dailyBankingNationalTransfersCountryRecipientBank,Country of recipient bank,País del banco destinatario
dailyBankingNationalTransfersButtonSendMoney,Button send money,Enviar dinero
dailyBankingNationalTransfersScheduledModalTitle,Title of the modal to schedule a transfer,Programar
dailyBankingNationalTransfersScheduledModalStartDate,Input start date,Fecha de inicio
dailyBankingNationalTransfersScheduledModalRepeat,Input repeat,Repetir
dailyBankingNationalTransfersScheduledModalButton,Button of the modal to schedule a transfer,Establecer programación
dailyBankingNationalTransfersResumeButton,Button of the resume page,Confirmar
dailyBankingNationalTransfersOtpTitle,Title of otp page to send national transfer,Firma de operación
dailyBankingNationalTransfersOtpButton,Button of otp page to send national transfer,Confirmar
dailyBankingNationalTransfersScheduledOtpModalSuccessTitle,Title of alert bottom sheet to send transfer,Has programado {amount} € a {name}
dailyBankingNationalTransfersScheduledOtpModalSuccessDescription,Description of alert bottom sheet to send transfer,Transferencia programada diariamente desde hoy.
dailyBankingNationalTransfersOtpModalSuccessTitle,Title of alert bottom sheet to send transfer,Envío realizado
dailyBankingNationalTransfersOtpModalSuccessDescription,Description of alert bottom sheet to send transfer,Se han enviado {amount} € a {name}
dailyBankingNationalTransfersOtpModalErrorTitle,Title of the alert bottom sheet when the transfer fails to be sent,Ha ocurrido un error
dailyBankingNationalTransfersOtpModalErrorDescription,Description of the alert bottom sheet when the transfer fails to be sent,No se han podido enviar {amount} € a {name}.
dailyBankingNationalTransfersOtpSuccessDownloadSuccessAlertTitle,Title of the alert when a transfer certificate has been downloaded successfully,La descarga se ha realizado con éxito.
dailyBankingNationalTransfersOtpSuccessDownloadSuccessAlertAction,Description of the alert when a transfer certificate has been downloaded successfully,Abrir documento
dailyBankingNationalTransfersOtpSuccessDownloadErrorAlertTitle,Title of the alert when the certificate of a transfer has not been successfully downloaded,Ha ocurrido un error al descargar el documento.
dailyBankingNationalTransfersMenuReuseTransfer,Reuse transfer,Reutilizar transferencia
dailyBankingNationalTransfersMenuCancelTransfer,Cancel transfer,Anular transferencia
dailyBankingNationalTransfersMenuCancelTransferModalTitle,Title of the modal when a transfer is cancelled,Transferencia anulada
dailyBankingNationalTransfersMenuCancelTransferModalDescription,Description of the modal when a transfer is cancelled,La transferencia de {amount} € a {name} ha sido anulada con éxito.
dailyBankingInternationalTransfers,International transfer,Transferencia internacional
dailyBankingInternationalTransfersDestination,Destination,Destino
dailyBankinginternationalTransfersCountryRecipientBank,Country of recipient bank,País del banco destinatario
dailyBankingInternationalTransfersButtonSendMoney,Button send money,Enviar dinero
dailyBankingInternationalTransfersType,Type of transfer,Tipo de transferencia
dailyBankingInternationalTransfersOtpTitle,Title of otp page to send national transfer,Firma de operación
